Study	Drug	DrugName	Gene	Gene_in_GenAge_Human	Gene_in_GenAge_Model	Gene_targeted_by_DrugAge	Drug_targets_GenAge_Human	Drug_targets_GenAge_Model	Drug_in_DrugAge
Donertas2018	CHEMBL38	TRETINOIN	RXRB	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	ITGB2	NA	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	LIF	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NOS1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	ALPL	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	PTCH1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	P2RY2	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RARB	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	MST1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	EGR2	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	HOXD1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TG	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	PPARD	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	SHH	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	SPP1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	PML	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	CEACAM1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TP73	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	CALR	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	PRL	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	APOA1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RXRG	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	SLC2A1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TGFB1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RPE65	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	CXCL8	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	IFNG	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NR4A1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	BCOR	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	SMAD2	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	THBS1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	HES1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RORB	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	IL10	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RARA	NA	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	BIRC5	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	FLT3	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TPO	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	OCLN	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	MDK	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	PTPRZ1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	BCL2	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	IL1R1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NPM1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	AMH	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	APOE	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	DUSP6	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	CDKN1B	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RB1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	HSPA8	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	MYOD1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	FUS	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	CD55	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	HOXB1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	HAS3	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	ADH1C	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TSPYL2	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	SFTPA1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	GLI1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	BAX	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RET	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TBP	TRUE	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	WT1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	SMARCA4	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	RARRES1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	XIAP	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NR2C1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	BHLHE40	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	ALDH1A2	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	TGFBR3	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	NR2C2	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL38	TRETINOIN	KLK3	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL98350	LY-294002	PIK3CD	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	BRD3	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	BRAF	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	BRD4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	KRAS	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	PIK3CB	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	PIK3CG	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	AMH	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	PTEN	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	BRD2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL98350	LY-294002	MTOR	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL479	THIORIDAZINE	SERPINA3	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	HTR2C	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	HTR2A	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	HTR1A	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	DRD1	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	DRD4	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	ADRA1A	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	DRD2	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	CYP2D6	NA	TRUE	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	DRD3	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	HRH1	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	DRD5	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL479	THIORIDAZINE	HTR6	NA	NA	TRUE	NA	TRUE	NA
Donertas2018	CHEMBL413	SIROLIMUS	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	TGM2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	HRAS	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	FBXW7	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	IL10	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	EGFR	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	AKT1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	FKBP1A	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	NF1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	MTOR	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	EML4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	IL7	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	STK11	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	FGF2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	NOS1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	ABCG2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	MCL1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	RBL2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	DDIT3	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	BAX	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	ABCB1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	CTLA4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	WT1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	PGR	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	PIM1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	IGFBP1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	RB1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	PTEN	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	TSC1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	FKBP4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	EIF4E	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	KRAS	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	DDC	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	MAPK10	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	PRKAA1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	APC	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	IL17A	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	FGFR1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	IL15	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	RPS6KB1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	DCN	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	MMP1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL413	SIROLIMUS	ITGAL	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	CRHR2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	EIF2B1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	PI4KB	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	SLC1A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	NRG1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	GADD45A	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	SLC2A4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	F2R	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	CTLA4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	SPP1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	HGF	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	TRPV1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	MYO9B	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	NTRK1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	AKT1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	PI4KA	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	PLK1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	HSPA4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	MAPK10	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	PRKDC	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	TAC1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	PRKAB1	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	CRHR1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL428496	WORTMANNIN	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	PPARG	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	IL1B	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	RIPK1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	HGF	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	BGLAP	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	PRKD1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	DIABLO	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	GDF15	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	CEL	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	CPT2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	GSTP1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	PECAM1	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	MMP2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	CDK2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	PDE4D	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	SLC2A4	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	PDE4B	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	HSPB2	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	BIRC5	NA	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL165	RESVERATROL	MAPK14	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Donertas2018	CHEMBL178	DAUNORUBICIN	GSTP1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	KMT2A	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	GATA1	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	TOP2A	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	CYP1A1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	TYMS	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	WT1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	FLT3	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	DNMT3A	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	TOP2B	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	ABCB1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	FAS	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	RPSA	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	NPM1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	ANXA5	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	ABCC1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	CDK2	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL178	DAUNORUBICIN	APP	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	DKK1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	MGMT	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	TOP1	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	UGT1A1	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	BRCA1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	RAD50	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	ATRX	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	BIRC5	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	ABCC1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	ATM	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	TYMS	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	BRAF	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	E2F1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	RUNX3	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	MTHFR	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	BCHE	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	MAPK10	NA	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	GSTP1	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	TOP1MT	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	ISG15	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	AKT1	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	SMAD4	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	EGFR	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	CDKN1A	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	KRAS	NA	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	BRCA2	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL481	IRINOTECAN	GSTM1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	MAPK9	TRUE	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	XRCC5	TRUE	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	TOP1	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	MCL1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	PIK3CB	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	ABCB1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	HUS1	NA	TRUE	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	TOP2A	TRUE	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	STAG2	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	DCK	NA	NA	NA	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	COL18A1	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	BIRC5	NA	NA	TRUE	TRUE	TRUE	NA
Donertas2018	CHEMBL65	CAMPTOTHECIN	BAX	TRUE	TRUE	TRUE	TRUE	TRUE	NA
