Study	Drug	DrugName	Gene	Gene_in_GenAge_Human	Gene_in_GenAge_Model	Gene_targeted_by_DrugAge	Drug_targets_GenAge_Human	Drug_targets_GenAge_Model	Drug_in_DrugAge
Aliper2016	CHEMBL35482	CHEMBL35482	NR4A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	FLT3	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	BGLAP	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	MYC	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	GCG	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	CDKN1B	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	SLC2A4	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	MAPK10	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	MUC2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	CGB5	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	NR5A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	DSG1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	HRAS	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL35482	CHEMBL35482	PTPN11	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	SLC2A4	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	EP300	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	ERBB2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	COIL	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	NOS1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	APOB	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	HMGB1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	KCNJ11	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	CYP1A2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	CYP3A4	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	GJA1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	HGF	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	TP73	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	ABCB1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	CSF2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	KAT2B	NA	NA	TRUE	TRUE	TRUE	TRUE
